"","Date/Time","Pedestrians","Towards_Manhattan","Towards_Brooklyn","Weather","Temp","Events"
"1","2/5/18 4:00",0,0,0,"clear-night",36,""
"2","10/25/17 16:00",2241,1201,1040,"partly-cloudy-day",64,""
"3","12/1/17 4:00",3,2,1,"partly-cloudy-night",45,""
"4","2/4/18 23:00",6,5,1,"rain",40,""
"5","1/11/18 22:00",76,40,36,"clear-night",44,""
"6","12/30/17 3:00",0,0,0,"clear-night",16,""
"7","10/27/17 21:00",225,99,126,"clear-night",54,""
"8","11/7/17 4:00",2,1,1,"clear-night",42,""
"9","10/3/17 21:00",196,102,94,"clear-night",58,""
"10","12/31/17 15:00",1724,915,809,"partly-cloudy-day",14,"New Year's Eve"
"11","2/3/18 21:00",74,50,24,"clear-night",28,""
"12","11/25/17 2:00",17,3,14,"clear-night",38,""
"13","12/9/17 9:00",480,266,214,"partly-cloudy-day",34,""
"14","11/13/17 4:00",9,5,4,"partly-cloudy-night",41,""
"15","1/26/18 14:00",966,455,511,"clear-day",35,""
"16","1/18/18 14:00",714,341,373,"clear-day",31,""
"17","12/6/17 2:00",4,0,4,"partly-cloudy-night",56,""
"18","12/2/17 13:00",2649,1152,1497,"clear-day",47,""
"19","1/11/18 4:00",2,0,2,"partly-cloudy-night",37,""
"20","11/3/17 17:00",2281,1232,1049,"partly-cloudy-day",72,""
"21","12/18/17 7:00",129,63,66,"partly-cloudy-night",34,""
"22","11/25/17 17:00",1779,667,1112,"clear-night",54,""
"23","12/11/17 14:00",1674,792,882,"partly-cloudy-day",40,""
"24","12/27/17 6:00",61,35,26,"cloudy",19,""
"25","11/28/17 19:00",361,237,124,"clear-night",49,""
"26","10/27/17 5:00",22,13,9,"clear-night",45,""
"27","1/17/18 20:00",59,38,21,"clear-night",25,""
"28","11/12/17 16:00",2085,786,1299,"clear-day",45,""
"29","12/1/17 5:00",23,15,8,"clear-night",44,""
"30","10/16/17 5:00",18,12,6,"partly-cloudy-night",61,""
"31","1/23/18 8:00",103,30,73,"rain",45,""
"32","11/27/17 1:00",17,9,8,"clear-night",38,""
"33","10/6/17 18:00",1470,834,636,"clear-day",74,""
"34","1/29/18 9:00",307,136,171,"clear-day",40,""
"35","12/15/17 23:00",38,29,9,"clear-night",22,""
"36","11/19/17 14:00",2069,895,1174,"partly-cloudy-day",49,""
"37","11/18/17 16:00",986,422,564,"partly-cloudy-day",49,""
"38","1/4/18 15:00",199,123,76,"snow",22,""
"39","1/5/18 2:00",0,0,0,"clear-night",15,""
"40","11/1/17 16:00",1814,894,920,"partly-cloudy-day",56,""
"41","1/6/18 13:00",652,341,311,"clear-day",12,""
"42","10/5/17 5:00",19,12,7,"partly-cloudy-night",63,""
"43","1/6/18 8:00",39,16,23,"clear-day",7,""
"44","2/3/18 8:00",125,62,63,"clear-day",18,""
"45","12/27/17 21:00",69,28,41,"clear-night",18,""
"46","12/28/17 19:00",236,123,113,"clear-night",15,""
"47","11/30/17 14:00",1278,543,735,"partly-cloudy-day",48,""
"48","12/24/17 15:00",2616,1445,1171,"clear-day",39,"Christmas Eve"
"49","12/8/17 1:00",9,6,3,"clear-night",37,""
"50","1/24/18 18:00",404,271,133,"clear-night",33,""
"51","12/26/17 8:00",208,88,120,"clear-day",24,""
"52","12/13/17 15:00",966,439,527,"clear-day",30,""
"53","12/23/17 3:00",3,0,3,"partly-cloudy-night",39,""
"54","1/3/18 7:00",111,56,55,"clear-night",13,""
"55","10/20/17 23:00",180,73,107,"clear-night",60,""
"56","12/4/17 23:00",40,14,26,"partly-cloudy-night",48,""
"57","11/16/17 1:00",9,5,4,"partly-cloudy-night",50,""
"58","10/15/17 11:00",1949,1130,819,"partly-cloudy-day",68,""
"59","12/12/17 1:00",19,6,13,"partly-cloudy-night",37,""
"60","1/9/18 12:00",841,437,404,"clear-day",42,""
"61","1/28/18 20:00",236,150,86,"partly-cloudy-night",46,""
"62","11/21/17 13:00",1855,802,1053,"clear-day",56,""
"63","11/5/17 6:00",148,125,23,"partly-cloudy-night",53,"Daylight Saving Time ends"
"64","11/7/17 21:00",6,6,0,"rain",40,""
"65","1/30/18 17:00",432,251,181,"partly-cloudy-day",32,""
"66","10/14/17 21:00",393,162,231,"cloudy",67,""
"67","10/27/17 4:00",4,3,1,"clear-night",42,""
"68","11/12/17 23:00",43,14,29,"clear-night",39,""
"69","10/11/17 9:00",535,244,291,"clear-day",65,""
"70","1/11/18 15:00",1219,595,624,"partly-cloudy-day",47,""
"71","12/19/17 3:00",6,0,6,"cloudy",44,""
"72","11/7/17 5:00",27,14,13,"clear-night",41,""
"73","12/16/17 16:00",1432,632,800,"cloudy",37,""
"74","11/24/17 19:00",539,258,281,"clear-night",44,"Black Friday"
"75","1/25/18 3:00",2,1,1,"clear-night",23,""
"76","1/17/18 3:00",0,0,0,"partly-cloudy-night",35,""
"77","10/22/17 14:00",3093,1510,1583,"clear-day",65,""
"78","12/17/17 2:00",12,6,6,"partly-cloudy-night",33,""
"79","1/13/18 3:00",8,5,3,"cloudy",55,""
"80","1/10/18 3:00",3,2,1,"clear-night",27,""
"81","1/12/18 8:00",116,41,75,"cloudy",55,""
"82","11/15/17 3:00",4,2,2,"partly-cloudy-night",36,""
"83","11/10/17 2:00",5,4,1,"clear-night",48,"Veterans Day observed"
"84","12/22/17 14:00",1772,824,948,"partly-cloudy-day",45,""
"85","10/20/17 12:00",2098,1012,1086,"clear-day",69,""
"86","1/15/18 15:00",889,448,441,"partly-cloudy-day",30,"Martin Luther King Jr. Day"
"87","10/10/17 18:00",1535,933,602,"clear-day",78,""
"88","1/15/18 0:00",8,4,4,"clear-night",17,"Martin Luther King Jr. Day"
"89","11/9/17 5:00",19,10,9,"clear-night",38,""
"90","10/1/17 0:00",44,30,14,"clear-night",52,""
"91","11/19/17 3:00",3,1,2,"partly-cloudy-night",55,""
"92","1/6/18 3:00",1,0,1,"clear-night",9,""
"93","11/2/17 9:00",579,325,254,"partly-cloudy-day",60,""
"94","10/24/17 3:00",5,2,3,"partly-cloudy-night",68,""
"95","10/28/17 18:00",1534,589,945,"clear-night",64,""
"96","12/15/17 18:00",155,103,52,"partly-cloudy-night",23,""
"97","11/23/17 23:00",45,29,16,"clear-night",34,"Thanksgiving Day"
"98","12/21/17 12:00",1361,561,800,"clear-day",37,""
"99","12/21/17 6:00",51,28,23,"clear-night",31,""
"100","10/4/17 16:00",1733,964,769,"clear-day",74,""
"101","12/4/17 13:00",1781,766,1015,"clear-day",49,""
"102","1/4/18 0:00",41,38,3,"partly-cloudy-night",26,""
"103","12/4/17 18:00",800,461,339,"clear-night",46,""
"104","11/16/17 6:00",32,17,15,"partly-cloudy-night",50,""
"105","12/10/17 6:00",20,15,5,"clear-night",28,""
"106","10/21/17 1:00",29,16,13,"clear-night",57,""
"107","10/15/17 16:00",2824,1280,1544,"partly-cloudy-day",71,""
"108","1/2/18 18:00",589,286,303,"clear-night",23,""
"109","1/7/18 11:00",432,250,182,"clear-day",11,""
"110","12/17/17 7:00",92,48,44,"partly-cloudy-night",32,""
"111","11/20/17 0:00",28,6,22,"partly-cloudy-night",39,""
"112","12/26/17 13:00",2031,936,1095,"clear-day",26,""
"113","12/12/17 22:00",84,65,19,"partly-cloudy-night",33,""
"114","10/18/17 0:00",23,11,12,"clear-night",49,""
"115","11/10/17 17:00",638,263,375,"clear-night",31,"Veterans Day observed"
"116","10/8/17 2:00",46,25,21,"partly-cloudy-night",72,""
"117","11/20/17 11:00",1252,606,646,"partly-cloudy-day",42,""
"118","10/22/17 19:00",739,249,490,"clear-night",61,""
"119","11/18/17 6:00",28,20,8,"clear-night",31,""
"120","1/5/18 5:00",4,2,2,"clear-night",11,""
"121","1/13/18 16:00",1674,763,911,"clear-day",30,""
"122","10/25/17 6:00",104,66,38,"clear-night",59,""
"123","2/2/18 0:00",6,4,2,"partly-cloudy-night",38,""
"124","11/1/17 18:00",834,442,392,"partly-cloudy-night",56,""
"125","12/20/17 4:00",4,3,1,"partly-cloudy-night",47,""
"126","11/11/17 21:00",156,74,82,"clear-night",32,"Veterans Day"
"127","1/1/18 2:00",16,7,9,"clear-night",8,"New Year's Day"
"128","12/28/17 5:00",6,3,3,"clear-night",14,""
"129","1/31/18 12:00",694,351,343,"clear-day",26,""
"130","12/6/17 12:00",1166,444,722,"clear-day",41,""
"131","11/28/17 14:00",1167,451,716,"clear-day",50,""
"132","10/5/17 19:00",635,250,385,"clear-night",77,""
"133","12/27/17 16:00",2701,1375,1326,"clear-day",23,""
"134","10/29/17 11:00",640,302,338,"partly-cloudy-day",61,""
"135","10/31/17 10:00",1667,945,722,"clear-day",51,"Halloween"
"136","11/23/17 18:00",512,233,279,"clear-night",38,"Thanksgiving Day"
"137","12/18/17 10:00",768,418,350,"cloudy",37,""
"138","10/10/17 1:00",13,7,6,"partly-cloudy-night",73,""
"139","10/12/17 12:00",1663,842,821,"partly-cloudy-day",59,""
"140","1/1/18 23:00",56,18,38,"clear-night",15,"New Year's Day"
"141","1/18/18 6:00",32,14,18,"clear-night",18,""
"142","11/14/17 12:00",1079,462,617,"partly-cloudy-day",43,""
"143","1/26/18 0:00",39,28,11,"partly-cloudy-night",28,""
"144","12/3/17 10:00",1238,603,635,"partly-cloudy-day",44,""
"145","1/19/18 4:00",0,0,0,"clear-night",22,""
"146","1/12/18 23:00",45,32,13,"rain",56,""
"147","1/8/18 5:00",4,2,2,"partly-cloudy-night",18,""
"148","1/8/18 19:00",192,146,46,"cloudy",29,""
"149","1/30/18 4:00",0,0,0,"partly-cloudy-night",30,""
"150","12/25/17 22:00",75,27,48,"clear-night",28,"Christmas Day"
"151","11/30/17 3:00",1,0,1,"clear-night",36,""
"152","1/24/18 16:00",845,422,423,"partly-cloudy-day",36,""
"153","12/15/17 8:00",159,51,108,"clear-day",21,""
"154","1/19/18 19:00",176,105,71,"clear-night",34,""
"155","12/7/17 10:00",890,494,396,"clear-day",41,""
"156","11/11/17 10:00",953,494,459,"clear-day",30,"Veterans Day"
"157","1/14/18 7:00",44,24,20,"clear-night",15,""
"158","2/4/18 16:00",475,217,258,"partly-cloudy-day",39,""
"159","2/1/18 1:00",2,0,2,"partly-cloudy-night",31,""
"160","1/16/18 22:00",35,18,17,"clear-night",34,""
