"","mon_year","avg_peds","tot_peds","sd_peds","n_obs"
"1","01/18",8254.64516129032,255894,4257.03390126965,31
"2","02/18",10173,284844,4219.9574861822,28
"3","03/18",13861.1935483871,429697,6934.00899633757,31
"4","04/18",17811.7666666667,534353,8175.28916575299,30
"5","05/18",21338.5806451613,661496,6607.58663847446,31
"6","06/18",21629,648870,4196.00287630157,30
"7","07/18",23380.3870967742,724792,5745.24041085268,31
"8","10/17",20247.4193548387,627670,6407.09455616295,31
"9","11/17",14416.9666666667,432509,4604.01235418317,30
"10","12/17",13598.935483871,421567,4134.12926693142,31
