"","day","temperature","direction","count"
"1",2017-10-01,57.1666666666667,"Towards Manhattan",13231
"2",2017-10-02,59.0416666666667,"Towards Manhattan",9544
"3",2017-10-03,58.5833333333333,"Towards Manhattan",8709
"4",2017-10-04,62.5,"Towards Manhattan",9417
"5",2017-10-05,71.2083333333333,"Towards Manhattan",9318
"6",2017-10-06,71.2916666666667,"Towards Manhattan",10414
"7",2017-10-07,71.0833333333333,"Towards Manhattan",16362
"8",2017-10-08,73.2916666666667,"Towards Manhattan",9669
"9",2017-10-09,72.7083333333333,"Towards Manhattan",4449
"10",2017-10-10,72.0833333333333,"Towards Manhattan",10808
"11",2017-10-11,66.7916666666667,"Towards Manhattan",7998
"12",2017-10-12,59.7083333333333,"Towards Manhattan",8499
"13",2017-10-13,58.4583333333333,"Towards Manhattan",10928
"14",2017-10-14,65.1666666666667,"Towards Manhattan",16393
"15",2017-10-15,67.4583333333333,"Towards Manhattan",12259
"16",2017-10-16,57.9166666666667,"Towards Manhattan",8640
"17",2017-10-17,49.2916666666667,"Towards Manhattan",8023
"18",2017-10-18,57.6666666666667,"Towards Manhattan",8793
"19",2017-10-19,61.9166666666667,"Towards Manhattan",9858
"20",2017-10-20,63.125,"Towards Manhattan",11041
"21",2017-10-21,62.625,"Towards Manhattan",15878
"22",2017-10-22,59.2083333333333,"Towards Manhattan",14537
"23",2017-10-23,65.1666666666667,"Towards Manhattan",10932
"24",2017-10-24,68.8333333333333,"Towards Manhattan",8868
"25",2017-10-25,61,"Towards Manhattan",10611
"26",2017-10-26,54.0416666666667,"Towards Manhattan",8102
"27",2017-10-27,52.1666666666667,"Towards Manhattan",12217
"28",2017-10-28,58.0833333333333,"Towards Manhattan",17552
"29",2017-10-29,62.4583333333333,"Towards Manhattan",1636
"30",2017-10-30,53.0416666666667,"Towards Manhattan",9253
"31",2017-10-31,51.3333333333333,"Towards Manhattan",9864
"32",2017-11-01,50.75,"Towards Manhattan",7819
"33",2017-11-02,63.5416666666667,"Towards Manhattan",10400
"34",2017-11-03,63.5416666666667,"Towards Manhattan",10650
"35",2017-11-04,51.25,"Towards Manhattan",12963
"36",2017-11-05,56.1666666666667,"Towards Manhattan",5560
"37",2017-11-06,59.5416666666667,"Towards Manhattan",6384
"38",2017-11-07,43.5,"Towards Manhattan",4706
"39",2017-11-08,42.8333333333333,"Towards Manhattan",6284
"40",2017-11-09,46.4583333333333,"Towards Manhattan",7541
"41",2017-11-10,36.5833333333333,"Towards Manhattan",4858
"42",2017-11-11,29.9583333333333,"Towards Manhattan",7890
"43",2017-11-12,36.625,"Towards Manhattan",9118
"44",2017-11-13,41.3333333333333,"Towards Manhattan",3926
"45",2017-11-14,39,"Towards Manhattan",5514
"46",2017-11-15,42.5416666666667,"Towards Manhattan",5419
"47",2017-11-16,49.875,"Towards Manhattan",4899
"48",2017-11-17,42.0416666666667,"Towards Manhattan",6638
"49",2017-11-18,41.375,"Towards Manhattan",6155
"50",2017-11-19,49.75,"Towards Manhattan",7469
"51",2017-11-20,40.7916666666667,"Towards Manhattan",6734
"52",2017-11-21,47.2083333333333,"Towards Manhattan",8342
"53",2017-11-22,45.9166666666667,"Towards Manhattan",5371
"54",2017-11-23,35.75,"Towards Manhattan",7137
"55",2017-11-24,39.625,"Towards Manhattan",8957
"56",2017-11-25,46.125,"Towards Manhattan",11833
"57",2017-11-26,43.8333333333333,"Towards Manhattan",7009
"58",2017-11-27,42.8333333333333,"Towards Manhattan",5917
"59",2017-11-28,42.9166666666667,"Towards Manhattan",5076
"60",2017-11-29,51,"Towards Manhattan",5434
"61",2017-11-30,42.2916666666667,"Towards Manhattan",5513
"62",2017-12-01,45.8333333333333,"Towards Manhattan",7028
"63",2017-12-02,40.4583333333333,"Towards Manhattan",10327
"64",2017-12-03,42.7083333333333,"Towards Manhattan",7843
"65",2017-12-04,42.2083333333333,"Towards Manhattan",7543
"66",2017-12-05,54.375,"Towards Manhattan",3794
"67",2017-12-06,44.625,"Towards Manhattan",5691
"68",2017-12-07,39.6666666666667,"Towards Manhattan",6437
"69",2017-12-08,35.5416666666667,"Towards Manhattan",6325
"70",2017-12-09,32.2916666666667,"Towards Manhattan",3795
"71",2017-12-10,33.125,"Towards Manhattan",7692
"72",2017-12-11,35.875,"Towards Manhattan",6496
"73",2017-12-12,41.25,"Towards Manhattan",4578
"74",2017-12-13,25.5,"Towards Manhattan",3777
"75",2017-12-14,26.1666666666667,"Towards Manhattan",3573
"76",2017-12-15,22.5,"Towards Manhattan",3441
"77",2017-12-16,30.25,"Towards Manhattan",6793
"78",2017-12-17,34.125,"Towards Manhattan",7418
"79",2017-12-18,39.1666666666667,"Towards Manhattan",6897
"80",2017-12-19,48.4583333333333,"Towards Manhattan",7117
"81",2017-12-20,42.375,"Towards Manhattan",6099
"82",2017-12-21,34.5,"Towards Manhattan",6631
"83",2017-12-22,39.25,"Towards Manhattan",7017
"84",2017-12-23,42,"Towards Manhattan",2698
"85",2017-12-24,37.8333333333333,"Towards Manhattan",9625
"86",2017-12-25,33.4166666666667,"Towards Manhattan",10434
"87",2017-12-26,24.9166666666667,"Towards Manhattan",8213
"88",2017-12-27,20.2916666666667,"Towards Manhattan",9266
"89",2017-12-28,14.7916666666667,"Towards Manhattan",7900
"90",2017-12-29,15.5833333333333,"Towards Manhattan",9118
"91",2017-12-30,18.7916666666667,"Towards Manhattan",7192
"92",2017-12-31,14.125,"Towards Manhattan",8619
"93",2018-01-01,12.0416666666667,"Towards Manhattan",8442
"94",2018-01-02,17.875,"Towards Manhattan",7796
"95",2018-01-03,21.0416666666667,"Towards Manhattan",7910
"96",2018-01-04,23.75,"Towards Manhattan",900
"97",2018-01-05,12.7083333333333,"Towards Manhattan",2646
"98",2018-01-06,9.29166666666667,"Towards Manhattan",2506
"99",2018-01-07,11.0416666666667,"Towards Manhattan",2946
"100",2018-01-08,23.6666666666667,"Towards Manhattan",2950
"101",2018-01-09,34.6666666666667,"Towards Manhattan",3871
"102",2018-01-10,32.5833333333333,"Towards Manhattan",3609
"103",2018-01-11,41.4166666666667,"Towards Manhattan",4327
"104",2018-01-12,53.375,"Towards Manhattan",1831
"105",2018-01-13,36.1666666666667,"Towards Manhattan",5603
"106",2018-01-14,18.625,"Towards Manhattan",4386
"107",2018-01-15,23,"Towards Manhattan",3303
"108",2018-01-16,30.2916666666667,"Towards Manhattan",2911
"109",2018-01-17,31.1666666666667,"Towards Manhattan",1677
"110",2018-01-18,24.4583333333333,"Towards Manhattan",3394
"111",2018-01-19,29.5,"Towards Manhattan",4019
"112",2018-01-20,41.5416666666667,"Towards Manhattan",7454
"113",2018-01-21,42.25,"Towards Manhattan",6178
"114",2018-01-22,42.2916666666667,"Towards Manhattan",3610
"115",2018-01-23,47.4583333333333,"Towards Manhattan",2191
"116",2018-01-24,37.5,"Towards Manhattan",3822
"117",2018-01-25,27.7916666666667,"Towards Manhattan",3193
"118",2018-01-26,30.375,"Towards Manhattan",4063
"119",2018-01-27,42.4166666666667,"Towards Manhattan",8384
"120",2018-01-28,47.75,"Towards Manhattan",3812
"121",2018-01-29,40.7916666666667,"Towards Manhattan",3983
"122",2018-01-30,30.9583333333333,"Towards Manhattan",2526
"123",2018-01-31,25.2083333333333,"Towards Manhattan",3554
"124",2018-02-01,36.8333333333333,"Towards Manhattan",3445
"125",2018-02-02,27.25,"Towards Manhattan",2880
"126",2018-02-03,23.25,"Towards Manhattan",5709
"127",2018-02-04,35.75,"Towards Manhattan",3057
"128",2018-02-05,32.1666666666667,"Towards Manhattan",4144
"129",2018-02-06,30.2916666666667,"Towards Manhattan",4093
"130",2018-02-07,33.5833333333333,"Towards Manhattan",816
"131",2018-02-08,28.9166666666667,"Towards Manhattan",5026
"132",2018-02-09,29.9166666666667,"Towards Manhattan",4768
"133",2018-02-10,41.0416666666667,"Towards Manhattan",5113
"134",2018-02-11,48.3333333333333,"Towards Manhattan",2077
"135",2018-02-12,44.5833333333333,"Towards Manhattan",7173
"136",2018-02-13,31.125,"Towards Manhattan",5426
"137",2018-02-14,41.4166666666667,"Towards Manhattan",5703
"138",2018-02-15,49.2916666666667,"Towards Manhattan",5926
"139",2018-02-16,50.2083333333333,"Towards Manhattan",4204
"140",2018-02-17,33.1666666666667,"Towards Manhattan",7051
"141",2018-02-18,37.8333333333333,"Towards Manhattan",10228
"142",2018-02-19,41.1666666666667,"Towards Manhattan",6015
"143",2018-02-20,53.9166666666667,"Towards Manhattan",7738
"144",2018-02-21,62.875,"Towards Manhattan",8697
"145",2018-02-22,44.0416666666667,"Towards Manhattan",2844
"146",2018-02-23,37.5416666666667,"Towards Manhattan",3236
"147",2018-02-24,45.75,"Towards Manhattan",7033
"148",2018-02-25,42.125,"Towards Manhattan",3137
"149",2018-02-26,44.9166666666667,"Towards Manhattan",7061
"150",2018-02-27,44.9583333333333,"Towards Manhattan",6439
"151",2018-02-28,48.0833333333333,"Towards Manhattan",5641
"152",2018-03-01,50.8333333333333,"Towards Manhattan",4553
"153",2018-03-02,37.3333333333333,"Towards Manhattan",310
"154",2018-03-03,40.2916666666667,"Towards Manhattan",7695
"155",2018-03-04,39.4166666666667,"Towards Manhattan",6967
"156",2018-03-05,36.9166666666667,"Towards Manhattan",5787
"157",2018-03-06,38.125,"Towards Manhattan",6444
"158",2018-03-07,34.3333333333333,"Towards Manhattan",536
"159",2018-03-08,35.5833333333333,"Towards Manhattan",4474
"160",2018-03-09,34.9166666666667,"Towards Manhattan",5468
"161",2018-03-10,35.4583333333333,"Towards Manhattan",8637
"162",2018-03-11,NA,"Towards Manhattan",9325
"163",2018-03-12,37.125,"Towards Manhattan",6107
"164",2018-03-13,35.4166666666667,"Towards Manhattan",2935
"165",2018-03-14,34.4166666666667,"Towards Manhattan",5596
"166",2018-03-15,37.4583333333333,"Towards Manhattan",6929
"167",2018-03-16,35.2916666666667,"Towards Manhattan",6375
"168",2018-03-17,36.6666666666667,"Towards Manhattan",8116
"169",2018-03-18,35.75,"Towards Manhattan",8019
"170",2018-03-19,37.875,"Towards Manhattan",6171
"171",2018-03-20,34.4583333333333,"Towards Manhattan",3574
"172",2018-03-21,33.625,"Towards Manhattan",864
"173",2018-03-22,39.625,"Towards Manhattan",5533
"174",2018-03-23,41,"Towards Manhattan",7142
"175",2018-03-24,41.7083333333333,"Towards Manhattan",11469
"176",2018-03-25,38.4166666666667,"Towards Manhattan",8401
"177",2018-03-26,38.5833333333333,"Towards Manhattan",9914
"178",2018-03-27,37.5833333333333,"Towards Manhattan",7749
"179",2018-03-28,42.375,"Towards Manhattan",7637
"180",2018-03-29,47.2083333333333,"Towards Manhattan",6894
"181",2018-03-30,50.4166666666667,"Towards Manhattan",8877
"182",2018-03-31,45.4166666666667,"Towards Manhattan",17471
"183",2018-04-01,49.125,"Towards Manhattan",13832
"184",2018-04-02,37.5833333333333,"Towards Manhattan",6012
"185",2018-04-03,38.6666666666667,"Towards Manhattan",3578
"186",2018-04-04,46.2916666666667,"Towards Manhattan",7231
"187",2018-04-05,38.8333333333333,"Towards Manhattan",11497
"188",2018-04-06,44.625,"Towards Manhattan",7151
"189",2018-04-07,42.875,"Towards Manhattan",9604
"190",2018-04-08,37.2083333333333,"Towards Manhattan",7918
"191",2018-04-09,37.9166666666667,"Towards Manhattan",6380
"192",2018-04-10,42.5833333333333,"Towards Manhattan",4875
"193",2018-04-11,42,"Towards Manhattan",6774
"194",2018-04-12,49.7916666666667,"Towards Manhattan",7518
"195",2018-04-13,66,"Towards Manhattan",11464
"196",2018-04-14,62.8333333333333,"Towards Manhattan",15820
"197",2018-04-15,40.8333333333333,"Towards Manhattan",3750
"198",2018-04-16,47.375,"Towards Manhattan",3622
"199",2018-04-17,42.8333333333333,"Towards Manhattan",6271
"200",2018-04-18,44.0833333333333,"Towards Manhattan",8960
"201",2018-04-19,43.3333333333333,"Towards Manhattan",3930
"202",2018-04-20,42,"Towards Manhattan",10189
"203",2018-04-21,48.9166666666667,"Towards Manhattan",14679
"204",2018-04-22,52.7083333333333,"Towards Manhattan",12439
"205",2018-04-23,51.7083333333333,"Towards Manhattan",9923
"206",2018-04-24,53.125,"Towards Manhattan",8372
"207",2018-04-25,54.4166666666667,"Towards Manhattan",2645
"208",2018-04-26,59.3333333333333,"Towards Manhattan",12173
"209",2018-04-27,53.3333333333333,"Towards Manhattan",5383
"210",2018-04-28,55.0833333333333,"Towards Manhattan",15949
"211",2018-04-29,51.6666666666667,"Towards Manhattan",11390
"212",2018-04-30,47.4583333333333,"Towards Manhattan",5326
"213",2018-05-01,62.3333333333333,"Towards Manhattan",12099
"214",2018-05-02,75,"Towards Manhattan",11024
"215",2018-05-03,77.2083333333333,"Towards Manhattan",9652
"216",2018-05-04,73.9166666666667,"Towards Manhattan",11317
"217",2018-05-05,66.9583333333333,"Towards Manhattan",14453
"218",2018-05-06,60.8333333333333,"Towards Manhattan",8957
"219",2018-05-07,62.125,"Towards Manhattan",11126
"220",2018-05-08,59.25,"Towards Manhattan",10556
"221",2018-05-09,60.4583333333333,"Towards Manhattan",10544
"222",2018-05-10,58.5833333333333,"Towards Manhattan",9332
"223",2018-05-11,64.5416666666667,"Towards Manhattan",13863
"224",2018-05-12,56.5833333333333,"Towards Manhattan",8522
"225",2018-05-13,NA,"Towards Manhattan",6377
"226",2018-05-14,57.9583333333333,"Towards Manhattan",11614
"227",2018-05-15,68.4166666666667,"Towards Manhattan",6692
"228",2018-05-16,60.5,"Towards Manhattan",3891
"229",2018-05-17,61.25,"Towards Manhattan",8917
"230",2018-05-18,61.125,"Towards Manhattan",11060
"231",2018-05-19,53.7083333333333,"Towards Manhattan",5230
"232",2018-05-20,69.0416666666667,"Towards Manhattan",14090
"233",2018-05-21,66.2083333333333,"Towards Manhattan",13106
"234",2018-05-22,60.5,"Towards Manhattan",4541
"235",2018-05-23,68,"Towards Manhattan",11624
"236",2018-05-24,71.9166666666667,"Towards Manhattan",11401
"237",2018-05-25,74.25,"Towards Manhattan",12259
"238",2018-05-26,78,"Towards Manhattan",15824
"239",2018-05-27,63.625,"Towards Manhattan",8578
"240",2018-05-28,59.875,"Towards Manhattan",15252
"241",2018-05-29,73.0833333333333,"Towards Manhattan",10710
"242",2018-05-30,66.0833333333333,"Towards Manhattan",9987
"243",2018-05-31,64.5,"Towards Manhattan",5861
"244",2018-06-01,70.1666666666667,"Towards Manhattan",10204
"245",2018-06-02,76.2083333333333,"Towards Manhattan",12335
"246",2018-06-03,60.8333333333333,"Towards Manhattan",10031
"247",2018-06-04,59.5416666666667,"Towards Manhattan",9156
"248",2018-06-05,65.7916666666667,"Towards Manhattan",9992
"249",2018-06-06,62.5,"Towards Manhattan",9220
"250",2018-06-07,63.0416666666667,"Towards Manhattan",10145
"251",2018-06-08,69.7916666666667,"Towards Manhattan",11543
"252",2018-06-09,72.1666666666667,"Towards Manhattan",14343
"253",2018-06-10,66.625,"Towards Manhattan",8848
"254",2018-06-11,62.4583333333333,"Towards Manhattan",11462
"255",2018-06-12,63.9166666666667,"Towards Manhattan",11035
"256",2018-06-13,68.6666666666667,"Towards Manhattan",6778
"257",2018-06-14,75.2083333333333,"Towards Manhattan",10831
"258",2018-06-15,68.875,"Towards Manhattan",12431
"259",2018-06-16,72.0416666666667,"Towards Manhattan",14204
"260",2018-06-17,75.7916666666667,"Towards Manhattan",11537
"261",2018-06-18,78.5416666666667,"Towards Manhattan",7969
"262",2018-06-19,79.7916666666667,"Towards Manhattan",8787
"263",2018-06-20,73.7916666666667,"Towards Manhattan",9022
"264",2018-06-21,73.4583333333333,"Towards Manhattan",9487
"265",2018-06-22,68.75,"Towards Manhattan",10818
"266",2018-06-23,64.4166666666667,"Towards Manhattan",11098
"267",2018-06-24,73.125,"Towards Manhattan",11932
"268",2018-06-25,73.6666666666667,"Towards Manhattan",11043
"269",2018-06-26,69.2916666666667,"Towards Manhattan",10776
"270",2018-06-27,68.6666666666667,"Towards Manhattan",8641
