age,type,year,perc,yeartypeage
18-29,turnout_rate,2018,0.326,2018turnout_rate18-29
18-29,turnout_rate,2016,0.434,2016turnout_rate18-29
18-29,turnout_rate,2014,0.163,2014turnout_rate18-29
18-29,turnout_rate,2012,0.409,2012turnout_rate18-29
18-29,turnout_rate,2010,0.203,2010turnout_rate18-29
18-29,turnout_rate,2008,0.484,2008turnout_rate18-29
18-29,turnout_rate,2006,0.203,2006turnout_rate18-29
18-29,turnout_rate,2004,0.45,2004turnout_rate18-29
18-29,turnout_rate,2002,0.182,2002turnout_rate18-29
18-29,turnout_rate,2000,0.345,2000turnout_rate18-29
18-29,turnout_rate,1998,0.177,1998turnout_rate18-29
18-29,turnout_rate,1996,0.331,1996turnout_rate18-29
18-29,turnout_rate,1994,0.21,1994turnout_rate18-29
18-29,turnout_rate,1992,0.427,1992turnout_rate18-29
18-29,turnout_rate,1990,0.2,1990turnout_rate18-29
18-29,turnout_rate,1988,0.357,1988turnout_rate18-29
18-29,turnout_rate,1986,0.205,1986turnout_rate18-29
30-44,turnout_rate,2018,0.458,2018turnout_rate30-44
30-44,turnout_rate,2016,0.569,2016turnout_rate30-44
30-44,turnout_rate,2014,0.301,2014turnout_rate30-44
30-44,turnout_rate,2012,0.562,2012turnout_rate30-44
30-44,turnout_rate,2010,0.361,2010turnout_rate30-44
30-44,turnout_rate,2008,0.607,2008turnout_rate30-44
30-44,turnout_rate,2006,0.363,2006turnout_rate30-44
30-44,turnout_rate,2004,0.595,2004turnout_rate30-44
30-44,turnout_rate,2002,0.36,2002turnout_rate30-44
30-44,turnout_rate,2000,0.54,2000turnout_rate30-44
30-44,turnout_rate,1998,0.351,1998turnout_rate30-44
30-44,turnout_rate,1996,0.505,1996turnout_rate30-44
30-44,turnout_rate,1994,0.394,1994turnout_rate30-44
30-44,turnout_rate,1992,0.59,1992turnout_rate30-44
30-44,turnout_rate,1990,0.387,1990turnout_rate30-44
30-44,turnout_rate,1988,0.542,1988turnout_rate30-44
30-44,turnout_rate,1986,0.385,1986turnout_rate30-44
45-59,turnout_rate,2018,0.562,2018turnout_rate45-59
45-59,turnout_rate,2016,0.662,2016turnout_rate45-59
45-59,turnout_rate,2014,0.426,2014turnout_rate45-59
45-59,turnout_rate,2012,0.66,2012turnout_rate45-59
45-59,turnout_rate,2010,0.504,2010turnout_rate45-59
45-59,turnout_rate,2008,0.695,2008turnout_rate45-59
45-59,turnout_rate,2006,0.504,2006turnout_rate45-59
45-59,turnout_rate,2004,0.69,2004turnout_rate45-59
45-59,turnout_rate,2002,0.501,2002turnout_rate45-59
45-59,turnout_rate,2000,0.643,2000turnout_rate45-59
45-59,turnout_rate,1998,0.491,1998turnout_rate45-59
45-59,turnout_rate,1996,0.625,1996turnout_rate45-59
45-59,turnout_rate,1994,0.529,1994turnout_rate45-59
45-59,turnout_rate,1992,0.68,1992turnout_rate45-59
45-59,turnout_rate,1990,0.493,1990turnout_rate45-59
45-59,turnout_rate,1988,0.647,1988turnout_rate45-59
45-59,turnout_rate,1986,0.501,1986turnout_rate45-59
60+,turnout_rate,2018,0.655,2018turnout_rate60+
60+,turnout_rate,2016,0.714,2016turnout_rate60+
60+,turnout_rate,2014,0.549,2014turnout_rate60+
60+,turnout_rate,2012,0.712,2012turnout_rate60+
60+,turnout_rate,2010,0.59,2010turnout_rate60+
60+,turnout_rate,2008,0.71,2008turnout_rate60+
